year	direct_pc (manual)	author	title	narration	gender	tokens
1787	5	Musaus	Entf端hrung	3rd	m	5222
1788	3	B端rger	M端nchhausen	1st	m	1660
1802	39	Bernhardi	Belinde	3rd	f	4696
1805	23	G端nderrode	Bramine	1st (3rd)	f	4393
1807	24	Kleist	Erdbeben	3rd	m	6577
1812	25	Tieck	Eckbert	3rd (1st)	m	7593
1825	48	Hauff	Storch	3rd	m	4741
1849	59	Hebbel	Kuh	3rd	m	2081
1878	72	May	Ziege	3rd	m	5831
1889	40	Schnitzler	Ypsilon	1st	m	4976
1902	61	Janitschek	Weib	3rd	f	1754
1913	12	Heym	Irre	3rd	m	5653
1913	65	Kafka	Gracchus	3rd	m	2045
